fold_id,held_out_episode_id,frozen_train_count,frozen_test_count,attack_type,n_train,n_test,lr_test_count,lstm_test_count,test_population_equal,lr_manifest,lstm_manifest
0,02-03-2018_Botnet_0,2687,20,Botnet,2777,10,10,20,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
1,02-03-2018_Botnet_1,2692,24,Botnet,2775,12,12,24,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
2,02-03-2018_Botnet_2,2673,12,Botnet,2786,1,1,12,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
3,02-03-2018_Botnet_3,2672,6,Botnet,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
4,02-03-2018_Botnet_4,2668,6,Botnet,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
5,02-03-2018_Botnet_5,2650,9,Botnet,2783,4,4,9,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
6,02-03-2018_Botnet_6,2645,9,Botnet,2783,4,4,9,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
7,02-03-2018_Botnet_7,2641,8,Botnet,2784,3,3,8,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
8,02-03-2018_Botnet_8,2633,14,Botnet,2780,7,7,14,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
9,02-03-2018_Botnet_9,2637,10,Botnet,2782,5,5,10,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
10,14-02-2018_SSH-Bruteforce_0,2704,12,SSH-Bruteforce,2786,1,1,12,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
11,14-02-2018_SSH-Bruteforce_1,2700,9,SSH-Bruteforce,2783,4,4,9,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
12,14-02-2018_SSH-Bruteforce_2,2684,20,SSH-Bruteforce,2777,10,10,20,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
13,14-02-2018_SSH-Bruteforce_3,2687,6,SSH-Bruteforce,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
14,14-02-2018_SSH-Bruteforce_4,2675,16,SSH-Bruteforce,2779,8,8,16,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
